switch_id data_plane_bytes congestion_label_bytes congestion_label_count payload_bytes control_ratio_percent detect_ns detect_count gen_tx_ns gen_tx_count rx_ns rx_count total_ns
0 694579575 26568 504 9432 0.003825 712693318 883609 16585000 504 23141334 2216 752419652
1 696854040 21504 432 6816 0.003086 715166603 884425 12698692 432 25294455 2216 753159750
2 701542859 21024 432 6336 0.002997 719760884 875696 12008354 432 24325570 2216 756094808
3 690001741 18528 384 5472 0.002685 699387890 890034 10120522 384 24717961 2216 734226373
4 702878016 21024 432 6336 0.002991 693684119 869338 12367658 432 25093706 2216 731145483
5 707530166 12408 264 3432 0.001754 637962953 888095 6878514 264 25889863 2216 670731330
6 701927390 14016 288 4224 0.001997 666674254 886428 7481903 288 26965956 2216 701122113
7 700074803 25536 528 7584 0.003648 713591209 854507 13631883 528 29636064 2216 756859156
8 947719415 91600 1408 43728 0.009665 1957522819 1191136 43762611 1408 2767072 272 2004052502
9 966260304 96688 1488 46096 0.010006 2210179985 1214276 48882890 1488 2759026 272 2261821901
10 980864333 97328 1504 46192 0.009923 2191573258 1232906 50491706 1504 2952778 272 2245017742
11 959008103 101168 1568 47856 0.010549 2104050942 1205510 51544874 1568 2804063 272 2158399879
12 991654486 87232 1312 42624 0.008797 2033700305 1246130 47169883 1312 2835908 272 2083706096
13 957195180 99264 1536 47040 0.010370 2300984559 1203024 48401980 1536 2799115 272 2352185654
14 980411737 94096 1472 44048 0.009598 2289646278 1232204 51097000 1472 2895008 272 2343638286
15 966427524 94656 1488 44064 0.009794 2111521139 1214832 47748992 1488 2940741 272 2162210872
16 992361376 97408 1520 45728 0.009816 2313025615 1246940 50881476 1520 2970083 272 2366877174
17 967497311 96960 1520 45280 0.010022 2218485672 1215978 49834859 1520 3070077 272 2271390608
18 1017165777 93920 1456 44416 0.009233 2218009333 1277788 47863655 1456 4289474 272 2270162462
19 970825120 97504 1456 48000 0.010043 2239111844 1220066 50763267 1456 3182918 272 2293058029
TOTAL 17292779256 1308432 20992 594704 0.007566 31746732979 21732922 680215719 20992 241331172 20992 32668279870
