switch_id data_plane_bytes congestion_label_bytes congestion_label_count payload_bytes control_ratio_percent detect_ns detect_count gen_tx_ns gen_tx_count rx_ns rx_count total_ns
0 222075133 0 0 0 0.000000 124777041 288047 0 0 2092014 520 126869055
1 256415831 1128 24 312 0.000440 148152098 311668 561262 24 2153501 520 150866861
2 206034007 2496 48 864 0.001211 142887748 268343 1949791 48 1912817 520 146750356
3 225098095 1128 24 312 0.000501 134164738 272846 853574 24 1989742 520 137008054
4 241871969 0 0 0 0.000000 129510322 299695 0 0 2242463 520 131752785
5 225591517 1128 24 312 0.000500 144245462 288809 401581 24 2600977 520 147248020
6 259999798 3384 72 936 0.001302 170166243 310787 1840526 72 3593282 520 175600051
7 248507308 1128 24 312 0.000454 149600514 307347 708877 24 6556105 520 156865496
8 322227250 13008 240 4848 0.004037 286759783 401166 7158162 240 74290 18 293992235
9 333321447 22736 400 9136 0.006821 364369244 415008 10905604 400 100610 18 375375458
10 309057478 18432 320 7552 0.005964 342741836 384756 9795305 320 88820 18 352625961
11 300142637 17344 320 6464 0.005779 324143064 373706 8948212 320 86205 18 333177481
12 323064134 20672 368 8160 0.006399 332831430 402226 9994011 368 89564 18 342915005
13 351221546 21488 368 8976 0.006118 396587636 437276 9923488 368 78547 18 406589671
14 337470280 23408 416 9264 0.006936 373620028 420122 10890038 416 80604 18 384590670
15 319698833 17056 304 6720 0.005335 324137962 398020 7964039 304 171546 18 332273547
16 358587013 22128 384 9072 0.006171 387956381 446414 9306994 384 114815 18 397378190
17 307627891 21696 384 8640 0.007053 356210885 383004 11278288 384 88492 18 367577665
18 334853320 21808 384 8752 0.006513 375932348 416866 10556235 384 132834 18 386621417
19 338672199 15584 272 6336 0.004601 350944090 421640 7525267 272 194934 18 358664291
TOTAL 5821537686 245752 4376 96968 0.004221 5359738853 7247746 120561254 4376 24442162 4376 5504742269
