switch_id data_plane_bytes congestion_label_bytes congestion_label_count payload_bytes control_ratio_percent detect_ns detect_count gen_tx_ns gen_tx_count rx_ns rx_count total_ns
0 220368055 1752 36 528 0.000795 85987270 146276 714912 36 153630 12 86855812
1 139818920 1128 24 312 0.000807 59465755 141144 411265 24 170056 12 60047076
2 227545011 1752 36 528 0.000770 151513165 298796 962615 36 144852 12 152620632
3 594557265 1128 24 312 0.000190 222585363 568672 632359 24 150093 12 223367815
4 201230643 0 0 0 0.000000 68420917 184229 0 0 141473 12 68562390
5 144931381 1128 24 312 0.000778 105188768 236124 526217 24 151027 12 105866012
6 219892359 1128 24 312 0.000513 204127286 523841 455951 24 151716 12 204734953
7 115989083 0 0 0 0.000000 87196352 219972 0 0 360375 12 87556727
8 608667107 1552 16 1008 0.000255 360080598 757092 1846482 16 38496 14 361965576
9 58685555 0 0 0 0.000000 28656462 73034 0 0 39830 14 28696292
10 54905030 0 0 0 0.000000 24704922 68318 0 0 42780 14 24747702
11 630410502 752 16 208 0.000119 379537249 784136 631161 16 58723 14 380227133
12 419654797 752 16 208 0.000179 492470124 522000 389334 16 51096 14 492910554
13 189754944 0 0 0 0.000000 88922114 236044 0 0 40185 14 88962299
14 307508488 0 0 0 0.000000 148209430 382510 0 0 43440 14 148252870
15 383382795 752 16 208 0.000196 201740819 476912 550025 16 64825 14 202355669
16 532017395 1552 16 1008 0.000292 305800938 661752 2083632 16 49436 14 307934006
17 263421679 0 0 0 0.000000 124100023 327668 0 0 43400 14 124143423
18 88342354 0 0 0 0.000000 40302350 109920 0 0 57322 14 40359672
19 370781811 752 16 208 0.000203 237946295 461220 410252 16 169460 14 238526007
TOTAL 5771865174 14128 264 5152 0.000245 3416956200 7179660 9614205 264 2122215 264 3428692620
