switch_id data_plane_bytes congestion_label_bytes congestion_label_count payload_bytes control_ratio_percent detect_ns detect_count gen_tx_ns gen_tx_count rx_ns rx_count total_ns
0 214157131 1128 24 312 0.000527 140974898 305258 511595 24 869916 210 142356409
1 179529349 0 0 0 0.000000 120557144 285646 0 0 668874 210 121226018
2 272846223 1128 24 312 0.000413 149693883 323895 878005 24 702220 210 151274108
3 202234934 0 0 0 0.000000 118501551 280974 0 0 722577 210 119224128
4 242475624 4488 84 1632 0.001851 173239831 253407 3243853 84 816047 210 177299731
5 176965575 0 0 0 0.000000 98648614 231111 0 0 855790 210 99504404
6 232367681 1128 24 312 0.000485 109286732 230515 845048 24 1485279 210 111617059
7 289495348 2256 48 624 0.000779 224148803 341538 1103661 48 2499893 210 227752357
8 305599406 9648 176 3664 0.003157 272718041 380264 4442433 176 86345 17 277246819
9 295599419 10432 192 3904 0.003529 326074320 367824 5233381 192 96928 17 331404629
10 375503924 7808 144 2912 0.002079 388918034 467232 4194511 144 114632 17 393227177
11 259610442 5904 112 2096 0.002274 253622015 323062 2764328 112 122168 17 256508511
12 307639431 3360 64 1184 0.001092 221578963 382800 1327677 64 108345 17 223014985
13 290433438 6512 128 2160 0.002242 341414103 361396 3503248 128 86454 17 345003805
14 254946731 4096 80 1376 0.001607 185581411 317286 2154200 80 88261 17 187823872
15 338273718 8928 160 3488 0.002639 312299543 420914 4181914 160 132295 17 316613752
16 353334241 4208 80 1488 0.001191 253565580 439642 2883686 80 101339 17 256550605
17 427436144 10336 192 3808 0.002418 408907839 531830 5762857 192 146773 17 414817469
18 371698329 13008 224 5392 0.003500 426568661 462496 5811496 224 131393 17 432511550
19 280865453 7392 128 3040 0.002632 349440830 349522 4775026 128 275161 17 354491017
TOTAL 5671012541 101760 1884 37704 0.001794 4875740796 7056612 53616919 1884 10110690 1884 4939468405
