time: 2000000000
18 8 1000001
18 9 1000001
18 10 1000001
18 11 1000001
18 12 1000001
18 13 1000001
18 14 1000001
18 15 1000001
18 16 1000001
18 17 1000001
18 18 1000001
18 19 1000001
18 20 1000001
18 21 1000001
18 22 1000001
18 23 1000001
18 24 1000001
18 25 1000001
18 26 1000001
18 27 1000001
18 28 1000001
18 29 1000001
18 30 1000001
18 31 1000001
18 32 1000001
18 33 1000001
18 34 1000001
18 35 1000001
18 36 1000001
18 37 1000001
18 38 1000001
18 39 1000001
18 40 1000001
19 1 1000001
19 2 1000001
19 3 1000001
19 4 1000001
19 5 1000001
19 6 1000001
19 7 1000001
19 8 1000001
19 9 1000001
19 10 1000001
19 11 1000001
19 12 1000001
19 13 1000001
19 14 1000001
19 15 1000001
19 16 1000001
19 17 1000001
19 18 1000001
19 19 1000001
19 20 1000001
19 21 1000001
19 22 1000001
19 23 1000001
19 24 1000001
19 25 1000001
19 26 1000001
19 27 1000001
19 28 1000001
19 29 1000001
19 30 1000001
19 31 1000001
19 32 1000001
19 33 1000001
19 34 1000001
19 35 1000001
19 36 1000001
19 37 1000001
19 38 1000001
19 39 1000001
19 40 1000001
time: 2200000000
0 1 2000001
0 2 2000001
0 3 2000001
0 4 2000001
0 5 2000001
0 6 2000001
0 7 2000001
0 8 2000001
0 9 2000001
0 10 2000001
0 11 2000001
0 12 2000001
1 1 2000001
1 2 2000001
1 3 2000001
1 4 2000001
1 5 2000001
1 6 2000001
1 7 2000001
1 8 2000001
1 9 2000001
1 10 2000001
1 11 2000001
1 12 2000001
2 1 2000001
2 2 2000001
2 3 2000001
2 4 2000001
2 5 2000001
2 6 2000001
2 7 2000001
2 8 2000001
2 9 2000001
2 10 2000001
2 11 2000001
2 12 2000001
3 1 2000001
3 2 2000001
3 3 2000001
3 4 2000001
3 5 2000001
3 6 2000001
3 7 2000001
3 8 2000001
3 9 2000001
3 10 2000001
3 11 2000001
3 12 2000001
4 1 2000001
4 2 2000001
4 3 2000001
4 4 2000001
4 5 2000001
4 6 2000001
4 7 2000001
4 8 2000001
4 9 2000001
4 10 2000001
4 11 2000001
4 12 2000001
5 1 2000001
5 2 2000001
5 3 2000001
5 4 2000001
5 5 2000001
5 6 2000001
5 7 2000001
5 8 2000001
5 9 2000001
5 10 2000001
5 11 2000001
5 12 2000001
6 1 2000001
6 2 2000001
6 3 2000001
6 4 2000001
6 5 2000001
6 6 2000001
6 7 2000001
6 8 2000001
6 9 2000001
6 10 2000001
6 11 2000001
6 12 2000001
7 1 2000001
7 2 2000001
7 3 2000001
7 4 2000001
7 5 2000001
7 6 2000001
7 7 2000001
7 8 2000001
7 9 2000001
7 10 2000001
7 11 2000001
7 12 2000001
8 1 2000001
8 2 2000001
8 3 2000001
8 4 2000001
8 5 2000001
8 6 2000001
8 7 2000001
8 8 2000001
8 9 2000001
8 10 2000001
8 11 2000001
8 12 2000001
8 13 2000001
8 14 2000001
8 15 2000001
8 16 2000001
8 17 2000001
8 18 2000001
8 19 2000001
8 20 2000001
8 21 2000001
8 22 2000001
8 23 2000001
8 24 2000001
8 25 2000001
8 26 2000001
8 27 2000001
8 28 2000001
8 29 2000001
8 30 2000001
8 31 2000001
8 32 2000001
8 33 2000001
8 34 2000001
8 35 2000001
8 36 2000001
8 37 2000001
8 38 2000001
8 39 2000001
8 40 2000001
9 1 2000001
9 2 2000001
9 3 2000001
9 4 2000001
9 5 2000001
9 6 2000001
9 7 2000001
9 8 2000001
9 9 2000001
